"dataset","model","F1","k","u","c","b"
"A2Benchmark\synthetic_33.csv",1,0.0909090909090909,11,1,2,47
"A2Benchmark\synthetic_34.csv",1,0.121212121212121,3,1,1,50
"A2Benchmark\synthetic_35.csv",1,0.193548387096774,11,1,2,49
"A2Benchmark\synthetic_36.csv",1,0.0240963855421687,17,0,3,49
"A2Benchmark\synthetic_37.csv",1,0.153846153846154,12,1,2,49
"A2Benchmark\synthetic_38.csv",1,0.181818181818182,20,1,3,17
"A2Benchmark\synthetic_39.csv",1,0.0769230769230769,11,1,2,48
"A2Benchmark\synthetic_4.csv",1,0.5,3,1,1,16
"A2Benchmark\synthetic_40.csv",1,0.0952380952380952,16,1,2,48
"A2Benchmark\synthetic_41.csv",1,0.181818181818182,20,1,3,0
"A2Benchmark\synthetic_42.csv",1,0.08,11,1,2,50
"A2Benchmark\synthetic_43.csv",1,0.111111111111111,13,1,2,47
"A2Benchmark\synthetic_44.csv",1,0.181818181818182,20,1,3,19
"A2Benchmark\synthetic_45.csv",1,0.0666666666666667,11,1,2,31
"A2Benchmark\synthetic_46.csv",1,0.117647058823529,13,1,2,49
"A2Benchmark\synthetic_47.csv",1,0.181818181818182,20,1,3,41
"A2Benchmark\synthetic_48.csv",1,0.0714285714285714,11,1,2,48
"A2Benchmark\synthetic_49.csv",1,0.125,12,1,2,46
"A2Benchmark\synthetic_5.csv",1,0.5,11,1,2,38
"A2Benchmark\synthetic_50.csv",1,0.166666666666667,20,1,3,18
"A2Benchmark\synthetic_51.csv",1,0.0666666666666667,11,1,2,49
"A2Benchmark\synthetic_52.csv",1,0.1,15,1,2,48
"A2Benchmark\synthetic_53.csv",1,0.153846153846154,11,1,2,21
"A2Benchmark\synthetic_54.csv",1,0.0444444444444444,20,1,2,43
"A2Benchmark\synthetic_55.csv",1,0.121212121212121,12,1,2,41
"A2Benchmark\synthetic_56.csv",1,0.153846153846154,12,1,2,43
"A2Benchmark\synthetic_57.csv",1,0.0666666666666667,11,1,2,44
"A2Benchmark\synthetic_58.csv",1,0.117647058823529,12,1,2,49
"A2Benchmark\synthetic_59.csv",1,0.181818181818182,20,1,3,2
"A2Benchmark\synthetic_6.csv",1,1,19,1,3,1
"A2Benchmark\synthetic_60.csv",1,0.666666666666667,2,1,0,5
"A2Benchmark\synthetic_61.csv",1,0.666666666666667,5,1,1,18
"A2Benchmark\synthetic_62.csv",1,0.4,3,1,1,13
"A2Benchmark\synthetic_63.csv",1,0.666666666666667,5,1,1,50
"A2Benchmark\synthetic_64.csv",1,0.5,20,0,3,50
"A2Benchmark\synthetic_65.csv",1,0.4,3,1,1,19
"A2Benchmark\synthetic_66.csv",1,0.666666666666667,13,1,2,50
"A2Benchmark\synthetic_67.csv",1,0.5,3,1,1,23
"A2Benchmark\synthetic_68.csv",1,0.428571428571429,11,1,2,43
"A2Benchmark\synthetic_69.csv",1,0.181818181818182,2,0,47,50
"A2Benchmark\synthetic_7.csv",1,0.5,3,1,1,24
"A2Benchmark\synthetic_70.csv",1,0.5,3,1,1,37
"A2Benchmark\synthetic_71.csv",1,0.4,3,1,1,28
"A2Benchmark\synthetic_72.csv",1,0.222222222222222,11,1,2,49
"A2Benchmark\synthetic_73.csv",1,0.5,3,1,1,43
"A2Benchmark\synthetic_74.csv",1,0.4,3,1,1,41
"A2Benchmark\synthetic_75.csv",1,0.5,20,1,3,17
"A2Benchmark\synthetic_76.csv",1,0.4,3,1,1,43
"A2Benchmark\synthetic_77.csv",1,0.352941176470588,3,1,1,46
"A2Benchmark\synthetic_78.csv",1,0.153846153846154,12,1,2,50
"A2Benchmark\synthetic_79.csv",1,0.4,3,1,1,48
"A2Benchmark\synthetic_8.csv",1,0.4,3,1,1,20
"A2Benchmark\synthetic_80.csv",1,0.3,3,1,1,47
"A2Benchmark\synthetic_81.csv",1,0.105263157894737,11,1,2,47
"A2Benchmark\synthetic_82.csv",1,0.333333333333333,3,1,1,50
"A2Benchmark\synthetic_83.csv",1,0.285714285714286,3,1,1,50
"A2Benchmark\synthetic_84.csv",1,0.1,11,1,2,50
"A2Benchmark\synthetic_85.csv",1,0.307692307692308,3,1,1,50
"A2Benchmark\synthetic_86.csv",1,0.24,3,1,1,47
"A2Benchmark\synthetic_87.csv",1,0.0952380952380952,11,1,2,50
"A2Benchmark\synthetic_88.csv",1,0.181818181818182,3,1,1,50
"A2Benchmark\synthetic_89.csv",1,0.222222222222222,3,1,1,50
"A2Benchmark\synthetic_9.csv",1,0.285714285714286,11,1,2,50
"A2Benchmark\synthetic_90.csv",1,0.0952380952380952,11,1,2,49
"A2Benchmark\synthetic_91.csv",1,0.181818181818182,3,1,1,48
"A2Benchmark\synthetic_92.csv",1,0.2,3,1,1,49
"A2Benchmark\synthetic_93.csv",1,0.08,11,1,2,47
"A2Benchmark\synthetic_94.csv",1,0.153846153846154,3,1,1,50
"A2Benchmark\synthetic_95.csv",1,0.2,11,1,2,49
"A2Benchmark\synthetic_96.csv",1,0.0833333333333333,11,1,2,50
